industry_type,primary_hotspot_key,production_volume_units,grid_electricity_kwh,renewable_electricity_kwh,renewable_energy_ratio,fossil_fuel_burn_mj,raw_material_kg,virgin_material_percentage,waste_generated_kg,waste_landfill_percentage,transport_tkm,primary_hotspot_share_pct,scope1_share_pct,scope2_share_pct,scope3_share_pct,target_intervention_category
food_processing,coal,1423882.4,462132.7,173959.0,0.2735,1466891.5,451873.0,83.34,29905.8,70.09,47599.6,49.13,50.94,31.93,17.13,Process Changes
metal_engineering,waste,1323821.8,296497.7,36658.5,0.11,125144.9,432067.0,71.43,49364.1,82.61,86938.7,29.83,16.18,22.13,61.69,Material Reuse
metal_engineering,raw_materials,1717572.6,768127.6,114583.9,0.1298,204465.0,701719.5,82.48,68793.4,82.05,41353.8,41.76,17.0,23.92,59.08,Recycled Materials
general,raw_materials,1346697.8,560083.3,179577.4,0.2428,323623.7,458755.4,74.84,44278.6,71.18,22405.0,39.39,21.96,30.84,47.2,Recycled Materials
metal_engineering,waste,556144.1,302928.3,92130.1,0.2332,188545.1,345207.7,76.12,116633.6,61.32,36329.3,31.82,22.79,31.76,45.45,Recycling Loops
chemical,raw_materials,2040101.4,308689.6,108545.3,0.2602,113503.4,772647.0,94.93,24275.1,67.02,30262.5,59.18,17.25,27.09,55.66,Alternative Materials
chemical,electricity,357593.1,794459.8,55211.0,0.065,295873.3,133521.0,57.42,25646.2,62.71,21031.3,60.01,30.89,64.62,4.49,Renewable Energy Substitution
general,diesel,607755.7,272796.7,64979.1,0.1924,1635965.1,209446.3,65.77,12935.1,52.51,172984.1,36.76,57.36,12.22,30.42,Transportation Optimization
general,waste,1099317.6,328625.2,127267.0,0.2792,356056.1,399494.1,74.65,127847.0,58.63,37633.0,27.83,17.87,31.61,50.52,Recycling Loops
metal_engineering,coal,690191.6,1822952.6,152200.1,0.0771,982866.1,213028.9,69.25,36070.0,66.72,40400.1,40.56,49.87,16.8,33.33,Renewable Energy Substitution
general,transport,539935.4,363274.7,38864.3,0.0966,1407472.6,171080.8,71.03,18686.0,53.68,218281.4,49.84,40.97,22.54,36.49,Transportation Optimization
food_processing,waste,820034.3,596454.6,107423.8,0.1526,228259.8,221606.8,84.36,63262.9,96.8,26060.3,30.25,25.34,34.71,39.95,Waste-to-Value
metal_engineering,diesel,367266.3,174039.6,24434.1,0.1231,1255528.6,118544.7,76.43,13553.7,60.22,179976.8,42.39,54.12,17.49,28.39,Transportation Optimization
general,raw_materials,1488357.9,380578.1,112062.4,0.2275,73572.7,823953.4,89.84,44836.6,51.37,54861.5,59.42,24.53,26.24,49.23,Alternative Materials
metal_engineering,electricity,815372.2,512594.7,53495.1,0.0945,1203330.0,499149.3,70.24,27628.4,67.7,53299.6,49.37,47.14,42.21,10.65,Process Changes
chemical,waste,1346960.6,300114.1,96665.7,0.2436,196626.3,421822.8,62.18,114465.3,92.97,19547.6,46.18,28.76,30.2,41.04,Waste-to-Value
chemical,waste,941069.8,507882.6,81004.3,0.1376,108327.1,474049.6,67.21,54427.8,59.06,28307.8,27.67,25.47,34.36,40.17,Recycling Loops
textile,raw_materials,2881220.6,424767.6,101361.8,0.1927,226097.7,1070840.9,94.22,26517.4,52.12,45696.8,38.58,18.79,29.1,52.11,Alternative Materials
textile,waste,628627.4,515616.2,48078.0,0.0853,171396.1,287788.7,69.41,39591.2,84.77,94353.0,28.34,15.7,30.59,53.71,Material Reuse
textile,waste,690077.3,668462.2,27625.0,0.0397,391896.8,270142.5,82.16,198656.8,78.79,31974.5,37.82,17.67,32.89,49.44,Waste-to-Value
chemical,raw_materials,545678.1,412944.1,44269.1,0.0968,167851.7,212877.9,78.3,106848.5,82.58,39974.9,37.4,20.1,32.12,47.78,Material Reuse
food_processing,waste,668745.5,506826.3,90981.5,0.1522,119419.4,342270.3,80.48,75179.8,94.68,17756.9,50.86,20.41,29.18,50.41,Waste-to-Value
textile,waste,1030003.0,251752.3,27624.8,0.0989,388344.2,299731.3,61.52,105058.1,84.8,36917.0,45.61,18.56,27.55,53.89,Waste-to-Value
general,raw_materials,514213.4,297598.1,97338.7,0.2465,337441.4,236671.1,73.01,102166.7,94.17,61606.3,31.42,22.89,28.76,48.35,Material Reuse
textile,coal,786776.0,2312590.9,165245.4,0.0667,1737400.8,159069.0,57.7,20126.5,53.35,44052.7,40.16,62.03,33.18,4.79,Renewable Energy Substitution
general,coal,914508.8,884826.8,61737.3,0.0652,1175471.5,439059.9,78.06,56678.3,70.61,23090.9,37.55,48.74,34.97,16.29,Process Changes
food_processing,waste,714849.1,529024.5,30378.4,0.0543,159459.0,342648.9,67.07,187950.0,75.42,37670.5,36.63,19.65,27.92,52.43,Waste-to-Value
chemical,raw_materials,1972979.8,538567.4,69641.4,0.1145,182133.2,563975.8,75.91,40810.4,79.7,53898.8,44.07,16.15,21.13,62.72,Recycled Materials
textile,raw_materials,2095237.1,433134.9,78330.2,0.1531,133140.4,635926.6,88.18,22927.8,68.1,46728.5,51.63,16.95,20.7,62.35,Alternative Materials
chemical,transport,525974.0,154192.5,37770.9,0.1968,710092.9,196446.6,68.85,32362.0,65.19,148115.1,35.49,39.83,24.56,35.61,Transportation Optimization
chemical,raw_materials,1059707.4,484066.0,82943.8,0.1463,348517.0,467132.5,86.12,47249.0,62.05,47431.6,37.72,21.49,30.28,48.23,Recycled Materials
textile,waste,926203.2,420276.2,85343.5,0.1688,337877.6,427431.9,78.89,72000.6,71.0,94059.3,32.67,17.28,28.33,54.39,Material Reuse
chemical,electricity,342037.8,1171222.0,17705.8,0.0149,106033.0,71228.9,83.39,18356.9,55.54,41451.4,58.97,25.45,66.17,8.38,Renewable Energy Substitution
general,raw_materials,416798.0,401222.6,62551.9,0.1349,309455.3,237921.8,80.3,104701.6,65.54,17506.0,41.79,25.2,37.46,37.34,Recycling Loops
chemical,raw_materials,692470.7,297386.8,56621.2,0.1599,277856.0,222095.9,81.31,36586.2,80.47,81551.9,31.77,23.46,19.1,57.44,Material Reuse
metal_engineering,raw_materials,683210.8,687522.3,40911.4,0.0562,370844.0,296760.2,65.11,56335.7,40.49,34295.1,45.25,24.21,27.82,47.97,Recycling Loops
textile,raw_materials,3515583.4,207856.7,106259.9,0.3383,112312.6,1164963.3,87.08,36585.0,52.56,59875.0,49.05,18.93,16.01,65.06,Alternative Materials
chemical,electricity,556389.5,1595909.3,111183.9,0.0651,132318.9,217880.7,76.68,31626.5,74.9,19078.3,60.59,23.79,54.39,21.82,Renewable Energy Substitution
food_processing,electricity,312198.2,878353.6,255170.2,0.2251,772067.0,82895.8,74.72,40627.6,49.13,48483.1,31.81,29.15,37.29,33.56,Energy Optimization
general,raw_materials,1035418.6,813922.3,135175.5,0.1424,390822.7,615347.3,90.84,52294.2,71.42,25706.2,47.72,26.02,25.77,48.21,Recycled Materials
general,natural_gas,665445.0,1203985.9,347162.6,0.2238,359199.0,247951.9,75.49,38512.0,52.3,32139.2,29.88,29.43,39.88,30.69,Energy Optimization
general,raw_materials,2299219.5,253162.8,83391.6,0.2478,77177.3,666788.7,90.7,22640.4,60.46,24439.9,55.78,24.22,16.08,59.7,Alternative Materials
food_processing,waste,1144614.8,671083.0,46850.0,0.0653,102002.3,525659.9,65.06,229121.9,94.76,17301.8,32.66,22.43,29.14,48.43,Waste-to-Value
general,electricity,390492.5,1016694.9,112004.9,0.0992,111379.3,98828.0,78.5,13176.2,47.77,27628.7,63.25,13.69,61.43,24.88,Renewable Energy Substitution
general,natural_gas,1110849.0,502073.0,94905.7,0.159,639758.6,351012.7,74.03,35199.0,47.15,57740.1,47.01,51.78,32.34,15.88,Process Changes
textile,electricity,888848.4,1187254.9,85740.2,0.0674,282490.9,221338.8,66.11,34795.0,54.81,18830.7,67.54,17.6,54.71,27.69,Renewable Energy Substitution
textile,electricity,966552.1,849518.5,95007.1,0.1006,1004808.2,537828.8,67.4,48229.6,57.6,22445.8,40.77,51.27,26.98,21.75,Process Changes
metal_engineering,raw_materials,956379.5,563913.4,126593.5,0.1833,252380.7,285467.5,83.19,74632.2,71.5,27571.6,40.85,15.73,32.31,51.96,Recycled Materials
chemical,electricity,572718.7,1182450.4,143489.7,0.1082,863853.0,141765.4,70.14,42066.3,62.64,19161.6,38.05,39.38,38.14,22.48,Energy Optimization
metal_engineering,raw_materials,1153181.4,517936.0,136019.9,0.208,252473.9,329545.8,63.01,103317.6,62.57,24348.5,46.92,15.33,29.56,55.11,Recycling Loops
food_processing,coal,416946.7,1492059.7,70266.1,0.045,1347092.9,98367.0,52.76,10732.4,48.79,13205.7,49.42,60.46,29.33,10.21,Renewable Energy Substitution
food_processing,waste,2209823.0,707347.9,89071.9,0.1118,241306.6,631190.2,64.53,163405.0,96.86,33761.9,50.42,24.8,32.59,42.61,Waste-to-Value
food_processing,transport,1192217.3,262697.9,34416.5,0.1158,966114.0,343418.1,74.95,18243.1,57.78,121954.6,44.19,59.97,12.38,27.65,Transportation Optimization
general,diesel,641846.4,220665.8,75815.3,0.2557,872970.8,222768.3,54.65,23394.9,49.23,202532.7,37.84,36.34,21.69,41.97,Transportation Optimization
chemical,waste,1130344.8,741020.0,30988.2,0.0401,416050.4,607034.1,67.86,244970.0,81.62,41679.1,52.02,26.36,28.45,45.19,Waste-to-Value
food_processing,natural_gas,414512.0,552966.4,106946.2,0.1621,949319.0,151930.9,72.59,38104.2,63.34,46399.6,35.35,23.33,41.38,35.29,Energy Optimization
general,raw_materials,2649162.5,337072.8,149523.4,0.3073,391177.6,885293.1,87.79,47209.1,52.17,21226.1,43.67,16.94,28.02,55.04,Alternative Materials
chemical,natural_gas,700478.4,1490397.8,243165.7,0.1403,724382.7,157864.1,67.12,44479.9,63.66,49725.3,38.43,29.27,36.8,33.93,Energy Optimization
textile,electricity,811544.8,906172.0,227942.4,0.201,694963.0,285496.9,70.69,39280.4,67.41,20140.5,31.91,22.15,37.79,40.06,Energy Optimization
chemical,raw_materials,867520.4,747128.8,64833.7,0.0798,262130.1,424955.0,74.37,68086.3,87.28,32958.1,47.03,28.13,32.32,39.55,Recycled Materials
general,natural_gas,864395.4,1016858.5,331771.5,0.246,1010939.4,279996.0,64.36,33353.1,66.06,18890.2,41.51,23.66,51.16,25.18,Energy Optimization
food_processing,waste,954814.4,596697.5,112119.3,0.1582,238111.7,289922.2,67.13,146459.8,81.68,22007.4,48.4,15.12,28.09,56.79,Waste-to-Value
textile,waste,1212195.5,807374.4,123793.3,0.1329,327962.7,376730.8,72.61,81789.9,48.87,27625.7,26.67,16.98,38.3,44.72,Recycling Loops
chemical,raw_materials,1966529.6,677892.4,90481.6,0.1178,400959.2,595341.1,84.9,48565.2,81.94,48856.5,34.93,27.49,28.1,44.41,Recycled Materials
textile,electricity,512256.6,974068.2,5243.4,0.0054,123101.1,223331.4,61.88,13710.8,62.6,44881.0,46.51,16.99,74.16,8.85,Renewable Energy Substitution
textile,raw_materials,1107164.6,561748.5,34902.7,0.0585,390583.5,522228.4,68.08,68682.8,55.7,30656.1,29.22,17.83,37.89,44.28,Recycling Loops
general,raw_materials,673386.8,549265.8,33600.8,0.0576,234148.6,365103.5,72.17,77619.6,77.98,45503.0,38.31,20.9,23.55,55.55,Recycled Materials
general,transport,518106.6,412169.5,30983.7,0.0699,986124.7,192514.5,60.88,34991.4,63.34,314247.8,50.02,45.16,15.85,38.99,Transportation Optimization
chemical,raw_materials,2019312.4,642500.7,78788.3,0.1092,128611.7,707195.6,86.97,27055.5,64.95,36757.0,58.13,15.44,23.71,60.85,Alternative Materials
textile,raw_materials,880758.7,359950.0,41893.6,0.1043,216918.2,244395.8,75.48,52932.2,58.28,15180.5,32.97,25.16,32.26,42.58,Recycling Loops
textile,natural_gas,823117.5,948238.8,239615.5,0.2017,586706.8,249929.7,79.43,48020.0,51.65,22921.8,44.28,29.17,39.17,31.66,Energy Optimization
food_processing,natural_gas,752598.9,691594.9,232268.7,0.2514,661294.3,196247.8,62.45,33903.8,60.28,49919.6,44.58,39.33,41.97,18.7,Energy Optimization
chemical,coal,291841.0,1633116.7,178639.9,0.0986,988927.3,81334.4,74.81,26180.6,69.91,12840.6,63.62,50.87,28.1,21.03,Renewable Energy Substitution
food_processing,natural_gas,586017.0,1202548.1,352948.9,0.2269,553762.5,143335.6,78.12,27594.1,46.58,36020.9,30.12,35.93,47.83,16.24,Energy Optimization
chemical,transport,387202.6,314638.7,42949.5,0.1201,1287684.8,127187.3,77.9,25641.1,45.52,219393.6,35.46,35.44,19.46,45.1,Transportation Optimization
food_processing,waste,1115813.2,451493.6,41288.1,0.0838,61701.9,309448.4,85.49,77712.3,90.81,94497.5,28.27,25.38,28.49,46.13,Material Reuse
metal_engineering,raw_materials,1571785.1,458781.0,129295.3,0.2199,425975.9,755716.4,86.74,35324.7,62.65,44463.2,39.37,21.49,20.47,58.04,Recycled Materials
metal_engineering,coal,306827.5,1288102.6,57430.0,0.0427,1091829.2,70063.9,76.67,20960.2,70.79,42442.9,40.68,64.77,29.2,6.03,Renewable Energy Substitution
food_processing,electricity,406415.2,1519860.7,155360.7,0.0927,104080.0,151166.6,83.81,38410.9,63.93,37923.5,44.94,28.04,63.54,8.42,Renewable Energy Substitution
metal_engineering,coal,575690.4,1425957.8,80560.8,0.0535,1843042.3,161988.1,60.23,32279.0,57.7,15674.6,56.15,63.18,31.83,4.99,Renewable Energy Substitution
textile,raw_materials,2027832.1,615519.5,37476.6,0.0574,154788.5,622844.0,96.26,31150.4,56.32,58297.9,38.19,24.97,25.15,49.88,Alternative Materials
general,raw_materials,1590973.3,575058.9,138750.9,0.1944,329715.0,683688.0,87.1,72421.2,69.42,38830.8,48.8,28.92,32.31,38.77,Recycled Materials
chemical,diesel,672323.7,355913.7,28295.4,0.0736,1204424.4,313333.3,73.23,10012.7,55.15,144104.0,54.75,38.82,20.0,41.18,Transportation Optimization
food_processing,diesel,742960.8,390251.9,63227.8,0.1394,1534648.4,212419.6,72.94,10162.9,54.31,272598.0,48.38,46.85,19.67,33.48,Transportation Optimization
chemical,waste,1001055.3,241358.0,54520.6,0.1843,118975.5,330581.1,70.83,105540.3,92.65,69008.4,32.09,20.72,23.24,56.04,Material Reuse
chemical,natural_gas,1458902.6,631949.7,58002.6,0.0841,947039.8,442224.0,84.14,56417.7,73.21,25624.2,31.57,46.15,30.81,23.04,Process Changes
general,natural_gas,968446.8,1190974.2,383176.3,0.2434,707721.6,249761.0,76.86,39880.6,57.69,36905.3,39.91,25.06,51.19,23.75,Energy Optimization
general,diesel,400751.0,409263.8,65601.0,0.1381,1597425.5,193864.9,70.45,17606.3,62.17,196483.9,47.54,45.4,12.43,42.17,Transportation Optimization
chemical,waste,876107.1,674609.6,70625.4,0.0948,404643.8,379722.5,83.17,192744.8,80.92,31922.5,43.33,17.07,28.87,54.06,Waste-to-Value
textile,waste,1026508.1,687028.3,119789.5,0.1485,185640.2,621124.8,80.58,103878.7,77.26,44382.6,37.4,28.06,20.06,51.88,Waste-to-Value
chemical,raw_materials,811287.3,674103.2,49693.2,0.0687,223876.7,381166.7,89.99,66822.0,80.29,30533.8,35.68,26.35,27.11,46.54,Recycled Materials
chemical,natural_gas,511492.4,894853.7,146491.5,0.1407,441150.3,232367.0,61.86,47822.7,65.67,45012.7,43.41,28.17,51.93,19.9,Energy Optimization
chemical,raw_materials,1666833.2,469497.6,82957.6,0.1502,457637.7,865196.7,89.64,48069.6,83.41,36671.8,41.95,18.07,28.87,53.06,Recycled Materials
metal_engineering,raw_materials,1357435.1,463075.9,47521.1,0.0931,219324.6,380854.4,74.39,92504.8,66.25,27747.2,28.31,27.87,29.65,42.48,Recycling Loops
food_processing,waste,937510.2,455705.2,26011.4,0.054,90260.7,375664.9,72.81,88096.1,83.94,50361.3,38.02,16.74,25.73,57.53,Material Reuse
general,raw_materials,2223587.8,487744.4,70664.4,0.1265,339067.3,812962.2,90.83,30824.8,64.64,53065.8,46.73,28.24,23.04,48.72,Recycled Materials
textile,raw_materials,632535.4,576874.2,61479.4,0.0963,155692.7,231920.2,66.14,55137.5,86.36,67017.0,43.88,20.94,28.88,50.18,Material Reuse
textile,raw_materials,1298149.1,346146.7,87329.2,0.2015,216386.1,465570.9,86.3,35682.4,71.89,50021.5,38.39,28.32,24.2,47.48,Material Reuse
textile,waste,1004358.6,436694.7,63457.1,0.1269,326660.6,347249.5,66.05,55215.2,67.12,18242.7,35.98,22.6,35.31,42.09,Recycling Loops
food_processing,natural_gas,592017.7,1161402.0,210467.8,0.1534,764684.9,177862.4,66.78,44684.8,57.09,44145.3,29.79,22.82,54.55,22.63,Energy Optimization
chemical,waste,1997665.1,417956.9,37752.6,0.0828,125960.4,696085.9,76.39,162998.3,92.61,40202.3,50.17,15.25,22.8,61.95,Waste-to-Value
metal_engineering,transport,285598.7,405104.6,42765.1,0.0955,629801.3,119794.3,69.46,34121.6,56.56,206554.3,40.28,41.42,10.31,48.27,Transportation Optimization
metal_engineering,waste,1452871.5,422457.1,108914.4,0.205,381855.5,437497.5,73.5,81493.0,51.41,26891.4,39.26,28.68,37.62,33.7,Recycling Loops
general,raw_materials,1006201.6,714993.4,174845.8,0.1965,257422.1,334966.3,84.78,65112.0,77.25,27238.6,42.09,19.68,26.41,53.91,Recycled Materials
chemical,waste,1289838.3,368463.9,90895.3,0.1979,441285.7,681139.0,65.87,79062.9,78.41,36061.1,48.14,25.11,25.04,49.85,Waste-to-Value
food_processing,waste,955063.7,404784.7,83604.0,0.1712,286935.6,309134.7,64.11,104991.6,86.56,23135.3,53.69,21.96,20.88,57.16,Waste-to-Value
general,raw_materials,1485935.4,649878.1,139533.3,0.1768,245929.0,666627.6,80.26,35446.5,81.05,39476.3,39.17,28.67,20.31,51.02,Recycled Materials
chemical,electricity,418027.7,1425536.0,170548.9,0.1069,93339.5,79096.5,82.03,36461.5,41.13,36309.7,58.35,29.19,59.84,10.97,Renewable Energy Substitution
chemical,transport,503261.7,341583.4,29003.9,0.0783,1632246.8,233724.6,70.87,26321.8,49.6,145928.5,40.9,54.92,18.79,26.29,Transportation Optimization
chemical,waste,1399785.5,693265.3,78416.8,0.1016,188234.5,677444.9,72.08,123021.1,79.17,22333.6,50.82,24.22,33.7,42.08,Waste-to-Value
chemical,waste,833204.0,528759.1,115904.4,0.1798,407671.7,402258.2,67.29,104537.1,87.25,18427.5,43.73,15.02,24.86,60.12,Waste-to-Value
metal_engineering,waste,592852.5,445799.8,91397.5,0.1701,73588.0,265820.2,70.71,109101.0,79.73,78956.8,38.69,18.18,19.78,62.04,Material Reuse
metal_engineering,raw_materials,2770415.1,657630.1,179360.2,0.2143,274104.9,848449.4,77.59,28010.3,66.13,34654.3,36.39,15.0,33.73,51.27,Recycled Materials
food_processing,electricity,771996.0,1006366.3,223967.5,0.182,625626.6,298718.2,62.22,35657.5,62.04,47701.6,41.26,32.88,37.34,29.78,Energy Optimization
food_processing,waste,464530.2,534551.4,97955.1,0.1549,342680.6,172846.9,83.9,83473.2,86.18,42701.0,38.0,28.88,32.28,38.84,Material Reuse
textile,waste,2183867.1,420935.6,70514.1,0.1435,196488.8,631747.8,71.1,107958.5,66.28,21638.6,38.58,28.41,32.13,39.46,Recycling Loops
textile,electricity,458227.8,501221.5,37326.2,0.0693,1465735.7,181932.4,63.71,20996.0,63.85,43294.8,51.71,52.74,33.22,14.04,Process Changes
chemical,raw_materials,1836012.2,687343.3,36837.8,0.0509,478388.4,797407.5,76.53,29245.3,65.1,24443.1,34.47,22.78,23.69,53.53,Recycled Materials
food_processing,transport,385431.2,235791.7,31578.9,0.1181,713867.0,216539.0,67.63,24454.1,56.3,167894.5,50.37,55.66,15.19,29.15,Transportation Optimization
chemical,transport,480080.7,230005.5,42993.4,0.1575,1413283.9,156174.1,70.41,19852.3,63.87,98472.2,49.37,51.06,24.03,24.91,Transportation Optimization
textile,raw_materials,679788.2,367905.0,137805.7,0.2725,205990.1,302339.8,64.28,100084.2,61.33,31088.8,27.94,28.4,30.84,40.76,Recycling Loops
textile,waste,987339.2,438503.4,76779.0,0.149,52207.3,331372.0,65.86,77692.3,93.02,93105.1,35.81,21.87,33.9,44.23,Material Reuse
textile,waste,1175705.7,512543.8,66332.4,0.1146,270513.8,592492.0,61.19,74692.3,45.54,32383.9,28.33,24.97,29.29,45.74,Recycling Loops
metal_engineering,coal,1563119.7,548459.7,144756.5,0.2088,945638.7,499008.2,73.12,21001.3,66.5,24409.3,47.37,38.36,31.91,29.73,Process Changes
metal_engineering,transport,1183673.0,483819.8,66711.2,0.1212,1089129.8,346452.6,65.26,16942.9,49.09,141483.7,35.77,39.61,10.95,49.44,Transportation Optimization
food_processing,transport,549829.2,307663.6,25982.2,0.0779,991649.0,190914.0,53.24,23672.7,62.91,222357.4,53.48,38.19,16.53,45.28,Transportation Optimization
chemical,electricity,385436.6,2356028.4,13119.6,0.0055,135652.8,54561.5,59.53,35860.2,41.28,25265.1,43.29,20.42,70.17,9.41,Renewable Energy Substitution
metal_engineering,natural_gas,482948.6,1018995.5,273221.1,0.2114,339899.0,128634.5,69.11,26585.2,62.82,32890.6,30.73,37.89,40.86,21.25,Energy Optimization
food_processing,coal,520487.2,932038.5,70020.6,0.0699,628745.6,156423.5,62.68,33166.8,61.55,22560.0,33.0,38.62,37.64,23.74,Process Changes
metal_engineering,raw_materials,927533.1,734759.0,46738.9,0.0598,343327.8,432682.3,73.82,45886.3,84.04,33723.3,47.02,16.88,31.59,51.53,Recycled Materials
general,electricity,723241.6,861128.3,50909.7,0.0558,275259.6,225407.7,51.64,19111.0,55.52,16029.3,60.44,14.61,55.4,29.99,Renewable Energy Substitution
metal_engineering,raw_materials,1095117.0,797793.0,77806.8,0.0889,236189.5,617340.3,73.02,83883.9,60.24,32230.7,28.35,27.32,31.53,41.15,Recycling Loops
metal_engineering,electricity,592098.3,2025501.6,235230.5,0.1041,78720.8,166145.0,74.22,36703.0,70.59,44230.0,54.34,30.77,57.82,11.41,Renewable Energy Substitution
textile,waste,707030.3,225959.7,57258.0,0.2022,122073.5,314431.5,75.48,78660.9,78.92,44856.2,35.07,27.45,28.28,44.27,Material Reuse
metal_engineering,waste,771290.8,247384.7,21091.2,0.0786,140965.9,394296.7,83.18,57181.5,82.39,60267.1,33.21,18.47,17.73,63.8,Material Reuse
chemical,electricity,1292696.2,866405.2,52060.5,0.0567,1341975.4,447694.1,82.58,20381.9,51.5,53087.5,44.75,52.89,26.14,20.97,Process Changes
chemical,raw_materials,715531.0,343848.9,123351.5,0.264,492471.1,373570.0,87.44,74934.4,88.31,53604.7,42.43,29.36,31.04,39.6,Recycled Materials
chemical,raw_materials,1991471.6,781947.2,32207.1,0.0396,285410.7,699375.2,97.15,27086.0,70.78,53524.6,58.78,20.25,22.46,57.29,Alternative Materials
food_processing,coal,492309.2,941069.5,85885.8,0.0836,1903719.1,152359.0,50.09,21251.8,43.9,24566.6,62.12,53.77,23.64,22.59,Renewable Energy Substitution
textile,waste,812654.2,744946.1,63653.5,0.0787,103837.3,284896.3,76.31,176295.1,93.12,22616.5,49.09,25.32,24.84,49.84,Waste-to-Value
general,waste,1301393.6,345444.6,37345.1,0.0976,250883.4,489733.8,69.04,79783.7,80.6,61801.3,30.08,27.38,24.71,47.91,Material Reuse
textile,coal,848867.7,652224.4,39082.8,0.0565,1255503.3,377130.4,68.74,51733.5,61.12,38769.8,41.25,47.73,38.2,14.07,Process Changes
metal_engineering,raw_materials,853492.9,706435.9,114867.2,0.1399,471657.9,501759.6,71.46,26053.6,84.81,38365.7,47.5,18.52,25.18,56.3,Recycled Materials
chemical,raw_materials,2598367.3,479123.4,27818.5,0.0549,246803.9,1161862.8,87.45,47600.2,56.03,41433.1,40.13,16.76,26.34,56.9,Alternative Materials
chemical,waste,994737.9,474285.1,88718.4,0.1576,76632.0,452748.2,72.37,48374.9,75.98,60078.1,30.02,19.81,17.7,62.49,Material Reuse
metal_engineering,electricity,316382.6,997428.2,49634.5,0.0474,246573.5,132571.9,74.38,25216.4,48.44,37865.3,42.36,23.12,51.27,25.61,Renewable Energy Substitution
metal_engineering,raw_materials,598150.0,466814.7,92926.2,0.166,153686.1,367527.6,65.89,49007.9,90.78,81006.1,32.01,20.65,25.67,53.68,Material Reuse
food_processing,coal,604936.1,2220668.9,69430.1,0.0303,1424688.4,234647.9,53.36,25090.9,55.97,24357.2,63.4,52.61,16.27,31.12,Renewable Energy Substitution
general,raw_materials,1041546.1,838853.9,59510.4,0.0662,93113.0,517278.5,71.27,49067.8,64.76,15779.4,45.14,17.08,26.91,56.01,Recycling Loops
textile,raw_materials,1138877.1,719621.9,113543.5,0.1363,363543.7,528065.2,83.2,69939.1,57.61,15352.0,26.15,18.6,26.51,54.89,Recycling Loops
general,raw_materials,1831788.0,403670.1,125927.3,0.2378,78040.2,1105335.0,92.67,52691.9,63.57,45743.1,49.58,20.97,16.22,62.81,Alternative Materials
textile,coal,800520.4,1009786.0,108061.3,0.0967,724694.3,368094.3,79.13,60305.1,68.69,27810.7,43.19,41.64,25.18,33.18,Process Changes
chemical,diesel,730238.6,346507.2,38853.5,0.1008,653266.8,210740.8,64.97,15286.5,45.19,206935.8,47.23,41.0,18.81,40.19,Transportation Optimization
metal_engineering,electricity,1010458.6,1283960.8,379062.2,0.2279,1134465.4,297785.7,71.63,18810.9,56.48,42566.0,28.47,21.14,36.34,42.52,Energy Optimization
general,electricity,324902.5,1514598.4,6678.8,0.0044,115108.8,92624.6,80.36,27966.1,66.73,43488.9,58.03,34.57,54.35,11.08,Renewable Energy Substitution
